id,loan_amnt,grade,sub_grade,verification_status,issue_d,loan_status,addr_state,home_ownership,revol_bal,total_pymnt,last_pymnt_d,issue_year,issue_month
54734,25000,B,B4,Verified,2009-08-01,Fully Paid,CA,RENT,28854,29330.3567,2011-10-01,2009,8
55742,7000,B,B5,Not Verified,2008-05-01,Fully Paid,NY,RENT,33623,8215.53706,2011-06-01,2008,5
57245,1200,C,C2,Not Verified,2010-03-01,Fully Paid,TX,OWN,2584,1457.819531,2013-03-01,2010,3
57416,10800,C,C3,Not Verified,2009-11-01,Fully Paid,CT,RENT,3511,13207.7633,2012-11-01,2009,11
58915,7500,B,B3,Not Verified,2008-04-01,Fully Paid,CA,RENT,33667,5843.875367,2011-04-01,2008,4
59006,3000,C,C5,Not Verified,2009-09-01,Fully Paid,TX,MORTGAGE,4740,3704.99765,2012-10-01,2009,9
61390,4000,A,A5,Not Verified,2010-02-01,Fully Paid,TX,MORTGAGE,50807,4451.606058,2012-03-01,2010,2
61419,5600,D,D2,Not Verified,2010-02-01,Charged Off,MD,RENT,3839,6474.6,2012-10-01,2010,2
62102,3200,B,B1,Not Verified,2010-04-01,Fully Paid,MA,RENT,3198,3413.98528,2011-02-01,2010,4
65426,4000,B,B1,Not Verified,2009-08-01,Charged Off,MI,MORTGAGE,24220,2755.2,2011-06-01,2009,8
65640,5000,C,C2,Not Verified,2008-05-01,Fully Paid,CA,MORTGAGE,69909,3153.804764,2011-05-01,2008,5
66431,2525,B,B5,Not Verified,2009-02-01,Fully Paid,KY,RENT,5630,3028.319048,2012-03-01,2009,2
66749,10625,C,C4,Not Verified,2008-12-01,Fully Paid,MS,MORTGAGE,13846,12975.35746,2012-01-01,2008,12
66943,2800,B,B4,Not Verified,2010-08-01,Fully Paid,CA,RENT,2183,3143.861603,2011-10-01,2010,8
66964,7500,D,D3,Not Verified,2008-06-01,Fully Paid,KS,MORTGAGE,5122,9128.550873,2011-06-01,2008,6
67503,10000,A,A4,Not Verified,2009-10-01,Fully Paid,MI,MORTGAGE,6068,11280.38272,2012-02-01,2009,10
68163,3000,A,A3,Not Verified,2010-02-01,Fully Paid,GA,MORTGAGE,3021,3341.641503,2013-02-01,2010,2
68381,6625,A,A5,Not Verified,2008-03-01,Fully Paid,CA,RENT,6282,7541.803814,2011-03-01,2008,3
68817,10000,C,C1,Not Verified,2008-03-01,Fully Paid,NC,MORTGAGE,5394,11709.14052,2010-09-01,2008,3
68926,2300,D,D2,Verified,2008-08-01,Fully Paid,NJ,RENT,2211,2796.601136,2011-09-01,2008,8
69001,15000,A,A5,Not Verified,2009-09-01,Fully Paid,NY,MORTGAGE,7586,17135.51023,2012-07-01,2009,9
69124,18000,B,B4,Not Verified,2008-03-01,Fully Paid,WA,MORTGAGE,8311,21027.94463,2011-04-01,2008,3
69168,5000,E,E4,Verified,2008-04-01,Fully Paid,KY,RENT,591,6251.187621,2011-04-01,2008,4
69251,6000,A,A3,Not Verified,2008-05-01,Fully Paid,OH,MORTGAGE,29797,6783.750468,2011-05-01,2008,5
69550,11200,D,D3,Not Verified,2010-05-01,Fully Paid,AZ,RENT,7248,15923.97483,2014-08-01,2010,5
69828,15000,A,A5,Not Verified,2008-03-01,Fully Paid,MI,OWN,5656,17208.17701,2011-08-01,2008,3
69924,10000,D,D4,Not Verified,2008-03-01,Fully Paid,CA,RENT,21162,12225.41138,2011-04-01,2008,3
69990,15500,A,A5,Not Verified,2010-02-01,Fully Paid,CT,RENT,16931,17438.40519,2013-02-01,2010,2
70348,9600,C,C5,Not Verified,2008-03-01,Fully Paid,IL,RENT,4822,11340.97,2010-05-01,2008,3
76597,5000,B,B2,Not Verified,2007-07-01,Fully Paid,NY,MORTGAGE,14354,5725.016258,2010-07-01,2007,7
84918,5000,A,A2,Not Verified,2007-09-01,Fully Paid,MA,MORTGAGE,1576,5200.462983,2008-04-01,2007,9
87023,7500,E,E2,Not Verified,2007-06-01,Fully Paid,MA,OWN,4175,9195.263334,2010-06-01,2007,6
88854,5000,A,A2,Not Verified,2007-08-01,Fully Paid,NY,RENT,3164,5174.194867,2008-03-01,2007,8
90376,5000,A,A2,Not Verified,2007-07-01,Fully Paid,MD,MORTGAGE,85607,5174.198551,2008-01-01,2007,7
90395,5000,A,A4,Not Verified,2007-07-01,Fully Paid,MA,MORTGAGE,9698,5272.161128,2008-04-01,2007,7
90665,8500,C,C1,Not Verified,2007-07-01,Fully Paid,NC,RENT,8847,9913.491822,2010-07-01,2007,7
90966,5000,A,A2,Not Verified,2007-07-01,Fully Paid,GA,MORTGAGE,6053,5174.186842,2008-01-01,2007,7
92187,2500,A,A4,Not Verified,2007-07-01,Fully Paid,CO,MORTGAGE,7274,2822.969293,2010-07-01,2007,7
92402,5000,B,B1,Not Verified,2007-07-01,Fully Paid,CO,MORTGAGE,66033,5698.603286,2010-07-01,2007,7
92440,5000,A,A2,Not Verified,2007-07-01,Fully Paid,MA,MORTGAGE,3660,5593.631701,2010-07-01,2007,7
92507,5000,A,A2,Not Verified,2007-07-01,Fully Paid,WI,OWN,216,5593.626092,2010-07-01,2007,7
92533,5000,C,C4,Not Verified,2007-07-01,Fully Paid,WI,OWN,27185,5912.052998,2010-07-01,2007,7
92552,5000,B,B5,Not Verified,2007-07-01,Fully Paid,FL,MORTGAGE,28329,5804.732505,2010-07-01,2007,7
92666,5000,B,B3,Not Verified,2007-07-01,Fully Paid,WI,MORTGAGE,60568,5751.530533,2010-07-01,2007,7
92676,5000,A,A4,Not Verified,2007-07-01,Fully Paid,WI,MORTGAGE,40934,5645.957239,2010-07-01,2007,7
93061,5000,A,A2,Not Verified,2007-07-01,Fully Paid,MA,MORTGAGE,8379,5593.631701,2010-07-01,2007,7
93277,3000,B,B1,Not Verified,2007-07-01,Fully Paid,MA,MORTGAGE,3660,3419.14485,2010-07-01,2007,7
94838,3000,C,C1,Not Verified,2007-07-01,Fully Paid,NY,MORTGAGE,0,3498.858899,2010-07-01,2007,7
96350,5000,C,C4,Not Verified,2007-07-01,Fully Paid,GA,OWN,15840,5912.052998,2010-07-01,2007,7
